pid,psr,trg,loc,yds,dot,comp,succ,spk,dfb,no_play,dfb2
965633,00-0033873,00-0030506,SL,10,6,1,1,0,,0,NULL
965638,00-0033873,00-0030506,SL,9,9,1,1,0,,0,NULL
965650,00-0033873,00-0030506,SL,7,6,1,1,0,,0,NULL
965652,00-0033873,00-0030506,SM,11,7,1,1,0,,0,NULL
965687,00-0033873,00-0030506,SL,5,5,1,1,0,,0,NULL
965705,00-0033873,00-0030506,SM,18,14,1,1,0,,0,NULL
965719,00-0033873,00-0030506,DL,35,26,1,1,0,,0,NULL
965732,00-0033873,00-0030506,SR,26,14,1,1,0,,0,NULL
966564,00-0033873,00-0030506,SR,6,6,1,1,0,,0,NULL
966600,00-0033873,00-0030506,SL,19,12,1,1,0,,0,NULL
966612,00-0033873,00-0030506,SM,8,3,1,1,0,,0,NULL
966671,00-0033873,00-0030506,SR,18,11,1,1,0,,0,NULL
966674,00-0033873,00-0030506,SM,0,-4,1,0,0,,0,NULL
969617,00-0033873,00-0030506,SR,6,3,1,0,0,,0,NULL
969625,00-0033873,00-0030506,SR,29,15,1,1,0,,0,NULL
969626,00-0033873,00-0030506,SL,3,3,1,1,0,,0,NULL
969706,00-0033873,00-0030506,SR,20,7,1,1,0,,0,NULL
973985,00-0033873,00-0030506,SM,16,5,1,1,0,,0,NULL
973996,00-0033873,00-0030506,SM,12,6,1,1,0,,0,NULL
973998,00-0033873,00-0030506,SR,5,-2,1,1,0,,0,NULL
974002,00-0033873,00-0030506,SR,13,12,1,1,0,,0,NULL
974016,00-0033873,00-0030506,SL,7,5,1,1,0,,0,NULL
974023,00-0033873,00-0030506,SL,6,3,1,1,0,,0,NULL
974039,00-0033873,00-0030506,SL,6,-1,1,1,0,,0,NULL
974115,00-0033873,00-0030506,SM,5,4,1,1,0,,0,NULL
974118,00-0033873,00-0030506,DM,22,20,1,1,0,,0,NULL
976763,00-0033873,00-0030506,SM,4,3,1,1,0,,0,NULL
976787,00-0033873,00-0030506,SL,6,6,1,1,0,,0,NULL
976807,00-0033873,00-0030506,SM,1,1,1,1,0,,0,NULL
976837,00-0033873,00-0030506,SM,1,-1,1,0,0,,0,NULL
976839,00-0033873,00-0030506,SL,4,3,1,1,0,,0,NULL
976855,00-0033873,00-0030506,SR,8,0,1,1,0,,0,NULL
976882,00-0033873,00-0030506,SL,1,1,1,1,0,,0,NULL
978682,00-0033873,00-0030506,SL,11,5,1,1,0,,0,NULL
978711,00-0033873,00-0030506,DL,25,22,1,1,0,,0,NULL
978761,00-0033873,00-0030506,SM,9,4,1,1,0,,0,NULL
978770,00-0033873,00-0030506,SM,8,7,1,1,0,,0,NULL
978783,00-0033873,00-0030506,SL,23,14,1,1,0,,0,NULL
978800,00-0033873,00-0030506,SM,10,9,1,1,0,,0,NULL
978803,00-0033873,00-0030506,DR,19,16,1,1,0,,0,NULL
978814,00-0033873,00-0030506,SL,3,-3,1,0,0,,0,NULL
980949,00-0033873,00-0030506,SL,9,5,1,1,0,,0,NULL
980951,00-0033873,00-0030506,SR,27,1,1,1,0,,0,NULL
980975,00-0033873,00-0030506,SL,17,15,1,1,0,,0,NULL
981004,00-0033873,00-0030506,SL,22,6,1,1,0,,0,NULL
981008,00-0033873,00-0030506,SM,5,4,1,1,0,,0,NULL
981032,00-0033873,00-0030506,DM,18,18,1,1,0,,0,NULL
985557,00-0033873,00-0030506,SL,8,5,1,1,0,,0,NULL
985559,00-0033873,00-0030506,SL,10,-4,1,1,0,,0,NULL
985581,00-0033873,00-0030506,DR,23,17,1,1,0,,0,NULL
985627,00-0033873,00-0030506,SM,9,8,1,1,0,,0,NULL
985642,00-0033873,00-0030506,SR,12,5,1,1,0,,0,NULL
985665,00-0033873,00-0030506,SM,14,9,1,1,0,,0,NULL
985666,00-0033873,00-0030506,SL,0,-3,1,0,0,,0,NULL
985721,00-0033873,00-0030506,SL,4,4,1,0,0,,0,NULL
985722,00-0033873,00-0030506,SR,18,13,1,1,0,,0,NULL
985726,00-0033873,00-0030506,SR,8,4,1,1,0,,0,NULL
986560,00-0033873,00-0030506,SL,2,1,1,0,0,,0,NULL
986570,00-0033873,00-0030506,DL,46,17,1,1,0,,0,NULL
986658,00-0033873,00-0030506,SM,10,5,1,1,0,,0,NULL
986662,00-0033873,00-0030506,SL,7,6,1,1,0,,0,NULL
986673,00-0033873,00-0030506,SM,12,12,1,1,0,,0,NULL
986696,00-0033873,00-0030506,SR,4,1,1,1,0,,0,NULL
990125,00-0033873,00-0030506,SM,27,14,1,1,0,,0,NULL
990128,00-0033873,00-0030506,SM,1,0,1,0,0,,0,NULL
990146,00-0033873,00-0030506,SL,34,9,1,1,0,,0,NULL
990150,00-0033873,00-0030506,SL,4,-4,1,1,0,,0,NULL
990226,00-0033873,00-0030506,SR,32,6,1,1,0,,0,NULL
990261,00-0033873,00-0030506,SL,17,2,1,1,0,,0,NULL
992410,00-0033873,00-0030506,SM,9,7,1,1,0,,0,NULL
992415,00-0033873,00-0030506,DL,39,19,1,1,0,,0,NULL
992512,00-0033873,00-0030506,SR,4,4,1,1,0,,0,NULL
992513,00-0033873,00-0030506,SR,5,2,1,1,0,,0,NULL
994884,00-0033873,00-0030506,SR,18,-3,1,1,0,,0,NULL
994923,00-0033873,00-0030506,SM,19,9,1,1,0,,0,NULL
994936,00-0033873,00-0030506,SL,6,-4,1,1,0,,0,NULL
994939,00-0033873,00-0030506,SL,13,8,1,1,0,,0,NULL
996778,00-0033873,00-0030506,DM,37,18,1,1,0,,0,NULL
996788,00-0033873,00-0030506,SM,14,6,1,1,0,,0,NULL
996789,00-0033873,00-0030506,SR,8,-3,1,1,0,,0,NULL
996875,00-0033873,00-0030506,SM,12,4,1,1,0,,0,NULL
998743,00-0033873,00-0030506,SL,4,3,1,1,0,,0,NULL
998744,00-0033873,00-0030506,SR,12,4,1,1,0,,0,NULL
998805,00-0033873,00-0030506,SL,14,14,1,1,0,,0,NULL
998812,00-0033873,00-0030506,SR,12,7,1,1,0,,0,NULL
998836,00-0033873,00-0030506,SR,18,5,1,1,0,,0,NULL
998856,00-0033873,00-0030506,SR,13,10,1,1,0,,0,NULL
998884,00-0033873,00-0030506,SM,7,6,1,1,0,,0,NULL
998896,00-0033873,00-0030506,SL,7,4,1,1,0,,0,NULL
998898,00-0033873,00-0030506,SR,14,-1,1,1,0,,0,NULL
998900,00-0033873,00-0030506,SM,4,3,1,0,0,,0,NULL
1000992,00-0033873,00-0030506,SM,4,3,1,1,0,,0,NULL
1001023,00-0033873,00-0030506,SL,6,4,1,1,0,,0,NULL
1001026,00-0033873,00-0030506,SR,27,15,1,1,0,,0,NULL
1001041,00-0033873,00-0030506,SM,4,4,1,0,0,,0,NULL
1001107,00-0033873,00-0030506,SL,20,15,1,1,0,,0,NULL
1001108,00-0033873,00-0030506,DL,52,20,1,1,0,,0,NULL
1003405,00-0033873,00-0030506,SL,4,4,1,1,0,,0,NULL
1003409,00-0033873,00-0030506,SL,10,5,1,1,0,,0,NULL
1003421,00-0033873,00-0030506,SR,3,1,1,0,0,,0,NULL
1003423,00-0033873,00-0030506,SM,6,4,1,1,0,,0,NULL
1003446,00-0033873,00-0030506,SL,12,3,1,1,0,,0,NULL
1003545,00-0033873,00-0030506,SR,2,-1,1,0,0,,0,NULL
1003556,00-0033873,00-0030506,SL,6,6,1,1,0,,0,NULL
1005140,00-0033873,00-0030506,SR,-1,-3,1,0,0,,0,NULL
1005157,00-0033873,00-0030506,SL,7,3,1,1,0,,0,NULL
1005192,00-0033873,00-0030506,SR,15,14,1,1,0,,0,NULL
1005239,00-0033873,00-0030506,SR,5,5,1,1,0,,0,NULL
1005251,00-0033873,00-0030506,SR,11,7,1,1,0,,0,NULL
1005256,00-0033873,00-0030506,SL,1,1,1,0,0,,0,NULL
1008672,00-0033873,00-0030506,SR,7,1,1,1,0,,0,NULL
1008673,00-0033873,00-0030506,SM,14,14,1,1,0,,0,NULL
1008680,00-0033873,00-0030506,SM,6,6,1,1,0,,0,NULL
1008682,00-0033873,00-0030506,SR,8,1,1,1,0,,0,NULL
1008694,00-0033873,00-0030506,SR,-2,-3,1,0,0,,0,NULL
1008699,00-0033873,00-0030506,SM,7,5,1,1,0,,0,NULL
1008713,00-0026197,00-0030506,SL,6,3,1,1,0,,0,NULL
1008718,00-0026197,00-0030506,SR,4,4,1,1,0,,0,NULL
1008720,00-0026197,00-0030506,SL,4,2,1,1,0,,0,NULL
1008724,00-0026197,00-0030506,SL,1,-1,1,1,0,,0,NULL
1008743,00-0033873,00-0030506,SR,6,5,1,1,0,,0,NULL
1008772,00-0033873,00-0030506,SM,11,-1,1,0,0,,0,NULL
1008786,00-0033873,00-0030506,SR,11,5,1,1,0,,0,NULL
1008788,00-0033873,00-0030506,SL,15,4,1,1,0,,0,NULL
1009453,00-0033873,00-0030506,SR,16,5,1,1,0,,0,NULL
1009470,00-0033873,00-0030506,SR,12,15,1,1,0,,0,NULL
1009475,00-0033873,00-0030506,SR,13,9,1,0,0,,0,NULL
1009499,00-0033873,00-0030506,SR,14,14,1,1,0,,0,NULL
1009537,00-0033873,00-0030506,SR,6,4,1,1,0,,0,NULL
1009540,00-0033873,00-0030506,SL,6,0,1,1,0,,0,NULL
1009559,00-0033873,00-0030506,SM,11,6,1,1,0,,0,NULL
